所属板块,表单,求职者/员工,人事专员1-人事服务,人事专员2-薪酬结算,bu负责人,人事负责人,最高负责人,物业行政,IT,用印人,财务,使用场景
招聘,HRT-2022-聘用员工申请表,,,,发起,确认,终审,,,,,部门需要扩编、补员
招聘,HRP-2023-求职申请表,填写P1,完成Ⅰ级求职者的一面并完成P2第一部分的填写,,"完成Ⅰ级求职者的二面并完成P2面试评估的填写
完成Ⅱ级求职者的面试并完成P2面试评估的填写","完成Ⅰ级求职者的终面
完成Ⅱ级求职者的终面
完成Ⅲ级及以上求职者的面试","完成Ⅰ级求职者的终面并完成最终评价-推荐/留用
完成Ⅱ级求职者的终面并完成最终评价-推荐/留用
完成Ⅲ级及以上求职者的面试并完成最终评价-推荐/留用",,,,,p2是面试评估，根据聘用员工申请表的职级安排面试并填写面试结果
招聘,HRT-2020-劳动录用审批单,,发起,,确认,确认,终审,,,,,针对签署劳动合同的录用审批
招聘,HRT-2020-劳务录用审批单,,发起,,确认,确认,终审,,,,,针对签署劳务协议的录用审批
招聘,HRT-2020-应届生实习录用表,,发起,,确认,确认,终审,,,,,针对按日薪结算的实习生的录用审批
入职,HRT-2020-录用通知书,②确认,①发起,,,,,,,,,根据审批完成的录用信息发送给求职者，若确认接受则进入入职流程
入职,HRT-2026-新员工入职引导表,,发起任务，并完成任务：①发送录用通知书②沟通跟踪动态，保证到岗③收取相关材料并进行原件验证④带领员工参观公司办公场所⑤介绍公司同事姓名、职务⑥中午带领新员工午餐吃饭⑦加入微信群并跟进更名事宜⑧加入钉钉，设置考勤组⑨签订劳动合同/录用通知书/员工登记表/员工手册等⑩员工培训,,,,,接收任务：①安排电脑和座位②发放办公用品③开设门禁卡,接收任务：开设公司邮箱和HKMS账户及权限设置,,,各部门需要完成的入职引导任务清单
入职,HRT-2020-员工信息登记表,填写,,,,,,,,,,新员工入职时个人基本信息的录入
入职,HRC-2024-保安人员劳动合同,作为乙方签署,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,针对保安人员的劳动合同
入职,HRC-2024-劳动合同,作为乙方签署,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,
入职,HRC-2020-劳务协议,作为乙方签署,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,
入职,HRT-2020-实习协议,作为乙方签署,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,针对在校大学生
入职,HRT-2020-培训签到表,作为受培训人签字,进行培训并签字确认,,,签字作最终确认,,,,,,用于新员工培训
在职,HRP-2023-实习生评估表,,发起,,填写评估,确认,终审,,,,,在实习期结束月完成对实习期的评估
在职,HRP-2020-新员工试用期评估表,,发起,,填写评估,确认,终审,,,,,在试用期结束月完成对试用期的评估
在职,HRP-2020-续签劳动合同申请表,发起,,,确认,确认,终审,,,,,劳动合同到期一个月前，完成续签申请
在职,HRP-2026-续签劳务协议申请表,发起,,,确认,确认,终审,,,,,劳务协议到期一个月前，完成续签申请
在职,HRC-2020-劳动合同续签书,,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,续签申请通过后签署
在职,HRC-2025-劳务协议续签书,,申请用印并完成最后归档,,,作为甲方签字并确认用印,,,,完成用印,,续签申请通过后签署
在职,HRP-2020-员工流动表,,发起,,原BU负责人确认→现BU负责人确认（若有）,确认,终审,,,,,员工发生调岗、调薪、重新定级等流动时填写
在职,HRP-2026-退休留用申请表,发起,,,确认,确认,终审,,,,,达到退休年龄并成功办理退休的员工申请留用，完成审批后签署退休返聘劳务协议
在职,员工福利,,hro运动卡、人才公寓、年度体检,,,,,节日福利、生日福利,,,,
在职,薪资发放,,月度考勤汇总,根据考勤结算工资,,,终审,,,,"审批后的结果同步
财务按时发放工资",
离职,HRT-2023-离职申请表,发起,,,确认,确认,终审,,,,,提前申请离职
离职,HRT-2026-辞职信范本,发起,,,,,,,,,,辞职报告
离职,HRT-2020-职工离职交接清单,根据清单进行交接,发起交接清单任务，并完成①公司档案的归还②登记个人联系信息③通知终止或解除劳动合同④结算福利⑤通知社保部办理退工手续⑥交换员工手册,完成交接任务：结算薪资,完成交接任务：①所有相关的书面文件、合同等的交接②所有相关的电子文档的交接③正在进行工作的交接④对外客户关系及沟通程度的交接,,,"完成交接任务：①取消公司门禁权限②电脑设备及配件的归还③其他领用保管的设备的归还③门禁卡的归还④钥匙(包含但不仅限于办公室门、办公桌、柜子、其他曾经签收
过的公司钥匙)⑤电话卡、手机、电话、公司书籍、计算器等用品","完成交接任务：①保存备份E-mail内容并切断E-mail地址
②取消代收代付系统和HKMS系统的用户名权限",完成交接任务：公司授权保管的印章等,完成交接任务：①应收应付款项的结算②预借款等的结算③报销的结算,预计离职日期前需要完成的任务交接
